Synthetic_Record_ID,Hours_Studied,Attendance_Pct,Previous_GPA,Assignments_Completed,Quiz_Average,Sleep_Hours,Stress_Level,Commute_Minutes,Social_Hours,Caffeine_Cups,Split,Risk
G5-0316,8.91,86.88,2.46,7,70.89,7.83,3,32.34,7.83,4,train,0
G5-0317,8.18,82.97,2.69,7,61.44,6.67,4,51.06,11.89,2,train,1
G5-0318,9.54,78.47,2.01,6,62.1,5.6,6,2.27,9.08,0,train,1
G5-0319,17.55,83.88,4,10,99.93,7.36,4,10.26,8.35,2,train,0
G5-0320,12.18,87.78,3.52,7,88.12,8.03,6,5.67,7.71,2,train,0
G5-0321,6.67,90.53,2.85,9,73.92,6.97,3,30.66,7.01,3,train,0
G5-0322,6.61,76.04,2.54,8,74.62,6.74,7,14.42,10.4,3,train,0
G5-0323,4.9,76.83,2.86,5,81.05,7.53,4,9.29,6.91,1,train,1
G5-0324,7.82,75.14,3.31,8,87.81,6.83,6,13.58,3.86,3,train,0
G5-0325,10.58,86.12,2.59,7,74.63,6.85,4,21.59,9.33,4,train,0
G5-0326,9.57,80.36,2.23,7,59.47,5.66,4,3.17,6.81,6,train,1
G5-0327,5.65,74.05,1.67,6,57.85,6.45,5,20.99,7.17,4,train,0
G5-0328,12.49,95.87,3.11,8,79.95,7.36,4,15.23,5.8,0,train,0
G5-0329,12.43,93.96,2.7,9,84.3,6.92,3,14.91,6.16,1,train,0
G5-0330,7.82,77.69,2.98,5,70.02,8.13,4,13.65,6.65,2,train,0
G5-0331,5.93,58.35,2.85,5,62.67,5.13,5,5.46,5.73,3,train,1
G5-0332,5.62,85.43,2.47,9,70.1,7.29,6,46.68,8.91,3,train,1
G5-0333,8.09,72.77,2.36,7,58.02,5.09,10,26.74,3.49,1,train,1
G5-0334,12.08,79.38,3.66,6,78.01,6.58,5,12.11,5.57,1,train,0
G5-0335,8.25,80.71,2.38,6,70.55,7.99,1,26.64,9.31,1,train,0
G5-0336,8,77.23,2.97,7,68.36,6.39,4,10.11,9.26,2,train,1
G5-0337,10.35,87.93,3.33,7,93.21,6.91,6,14.39,9.21,1,train,0
G5-0338,7.45,66.83,2.66,5,76.07,7.52,5,19.84,4.62,1,train,0
G5-0339,10.13,88.05,3.33,8,91.13,5.99,7,15.75,6.8,3,train,0
G5-0340,10.92,87.16,2.65,8,74.83,7.54,4,30.2,4.71,3,train,0
G5-0341,6.03,84.07,2.43,8,67.97,7.7,3,33.1,5.39,1,train,0
G5-0342,6.15,83.29,2.41,7,75.76,5.9,5,90,8.26,5,train,1
G5-0343,11.26,84.28,2.84,7,74.73,7.85,7,16.89,11.65,2,train,0
G5-0344,15,89.83,2.65,8,67.99,9.01,3,33.22,7.34,0,train,0
G5-0345,10.48,70.3,3.09,4,76.66,8.02,4,35.89,7.25,2,train,1
G5-0346,7.94,76.93,2.74,6,71.92,8.06,5,22.21,6.63,1,train,1
G5-0347,8.32,80.95,2.32,6,80.24,7.48,5,13.36,10.04,2,train,0
G5-0348,3.75,74.49,2.89,6,62.73,5.08,5,13.15,5.17,4,train,1
G5-0349,10.07,97.47,3.11,8,73.87,8.27,5,20.89,4.65,1,train,0
G5-0350,5.88,83.82,2.5,7,59.39,7.58,6,43.19,9.04,0,train,1
G5-0351,7.68,73.78,2.57,8,77.77,6.19,4,23.78,8.7,3,train,1
G5-0352,9.84,77.76,2.38,5,73.9,5.94,7,11.7,8.48,1,train,1
G5-0353,9.81,93.79,3.3,8,75.98,6.64,6,15.5,9.4,2,train,0
G5-0354,6.49,79.09,2.38,5,70.52,7.7,2,33.24,6.66,2,train,1
G5-0355,10.76,97.33,3.87,9,96.41,7.87,4,48.5,7.82,0,train,0
G5-0356,10.63,73.53,2.62,3,74.61,5.31,8,72.14,7.79,1,train,1
G5-0357,14.06,86.65,2.78,9,81.55,7.64,2,32.65,6.72,1,train,0
G5-0358,5.44,76.45,2.23,6,67.71,6.56,7,31.7,5.41,3,train,1
G5-0359,7.84,88.09,2.39,9,71.22,7.36,2,43.58,5.06,3,train,0
G5-0360,7.47,74.17,2.69,2,73.32,6.44,8,19.63,8.47,3,train,1
G5-0361,6.62,86.52,2.53,6,70.6,8.06,6,3.54,10.29,3,train,0
G5-0362,9.03,80.78,3.08,7,84.28,7.93,8,21.87,9.85,6,train,0
G5-0363,11.88,93.32,3.03,8,78.61,7.22,3,52.61,6.92,1,train,0
G5-0364,2.66,71.04,2.31,6,75.39,5.34,6,69.67,7.42,3,train,1
G5-0365,16,100,3.65,10,80.7,7.86,1,11.92,10.94,2,train,0
G5-0366,13.93,93.82,3.37,9,79.26,7.11,3,30.93,6.43,2,train,0
G5-0367,13.76,100,3.22,10,90.13,7.45,3,11.2,8.44,0,train,0
G5-0368,11.81,82.57,2.58,7,67,7.07,6,13.04,4.8,3,train,0
G5-0369,2.62,78,2.4,7,72.64,7.86,3,55.23,7.19,3,train,0
G5-0370,8.19,73.84,2.63,8,68.02,5.85,4,21.33,5.52,1,train,1
G5-0371,11.57,79.6,2.48,9,73.46,7.21,6,59.7,6.37,4,train,0
G5-0372,9.62,79.34,2.73,7,79.73,7.17,5,34.84,4.11,3,train,0
G5-0373,8.67,71.19,2.72,6,72.65,6.77,5,5.76,10.96,3,train,1
G5-0374,5.66,68.19,1.98,3,52.85,6.34,8,10.28,6.08,1,train,1
G5-0375,11.28,75.76,3.43,8,77.17,6.63,6,31.55,9.09,4,train,0
G5-0376,9.27,87.65,3.12,7,79.78,5.92,6,62.64,7.29,0,train,0
G5-0377,3.43,71.38,2.12,4,75.63,6.26,7,23.75,5.94,2,train,1
G5-0378,5.83,86.74,2.97,8,65.02,6.53,5,10.28,1.67,2,train,0
G5-0379,5.22,63.67,2.4,8,72.14,6.1,10,20.49,4.3,1,train,1
G5-0380,7.11,90.37,3.07,10,78.75,6.53,8,16.02,7.61,2,train,0
G5-0381,4.67,66.59,1.76,6,50.23,6.84,6,16.74,5.76,1,train,1
G5-0382,8.1,78.4,2.91,7,72.39,7.06,4,16.25,6.19,1,train,0
G5-0383,4.64,74.44,2.38,7,68.31,7.06,4,26.83,7.94,2,train,1
G5-0384,9.78,87.67,3.14,7,74.69,6.12,4,26.04,5.28,3,train,0
G5-0385,11.54,82,2.76,8,79.47,8.17,3,21.52,7.46,1,train,0
G5-0386,10.66,87.54,2.76,8,67.1,7.88,5,26.89,6.08,2,train,0
G5-0387,9.72,93.05,2.61,10,72.25,6.15,7,31.32,6.81,1,train,0
G5-0388,3.4,77.35,2.79,4,68.3,7.96,4,24.25,7.72,3,train,0
G5-0389,13.22,99.78,3.74,10,94.31,7.47,4,20.03,6.97,0,train,0
G5-0390,13.16,86.17,2.36,7,82.62,6.26,6,27.14,9.43,5,train,0
G5-0391,12.85,86.46,2.37,9,76.48,7.39,9,12.48,4.5,5,train,0
G5-0392,5.19,82.26,2.08,6,60.57,7.4,5,16.53,9.55,1,train,1
G5-0393,13.78,89.86,3.19,8,91.09,7.4,4,2.78,6.24,0,train,0
G5-0394,12.54,99.8,2.85,8,79.58,6.84,4,26.79,8.97,4,train,0
G5-0395,9.97,79.19,3.74,8,87.67,6.79,3,26.6,6.04,0,train,0
G5-0396,9.86,73.95,2.25,5,78.54,5.07,8,24.69,8.06,1,train,1
G5-0397,13.52,79.42,2.05,5,71.56,6.04,5,9.93,2.5,5,train,1
G5-0398,2.72,62.73,2.26,6,55.77,5.18,9,90,9.01,3,train,1
G5-0399,3.59,90.23,2.11,8,63.31,6.24,3,19.09,9.41,2,train,1
G5-0400,7.63,89.14,2.69,7,67.09,6.17,6,38.8,7.82,3,train,0
G5-0401,4.24,72.25,2.83,4,70.89,6.42,4,90,7.62,2,train,1
G5-0402,8.64,84.11,2.39,5,60.13,6.86,6,29.03,4.72,0,train,1
G5-0403,15.04,83.84,3.2,6,80.29,7.3,4,25.97,6.96,1,train,0
G5-0404,4.03,64.44,2.43,4,84.31,7.37,2,51.81,10.67,3,train,1
G5-0405,9.38,78.19,3.15,7,73.67,6.71,7,17.09,6.23,3,train,1
G5-0406,8.76,72.75,2.38,6,76.09,7.33,3,17.52,3.32,2,train,1
G5-0407,8.91,84.41,2.4,7,78.44,6.65,5,51.19,8.08,2,train,0
G5-0408,12.12,69.8,2.7,7,86.01,5.37,10,27.03,2.18,3,train,1
G5-0409,16.17,97.06,3.34,9,89.68,8.04,1,33.91,5.33,3,train,0
G5-0410,5.76,63.4,2.38,3,56.18,6,7,83.33,7.51,1,train,1
G5-0411,7.13,81.22,2.24,7,68.01,7.46,3,26.24,7.38,3,train,1
G5-0412,8.75,97.89,2.86,8,84.43,7.7,5,11.18,11.02,2,train,0
G5-0413,8.47,81.75,3.09,7,80.96,7.02,5,22.3,4.85,8,train,0
G5-0414,6.55,88.87,2.64,8,71.52,7.48,6,39.45,4.87,1,train,1
G5-0415,6.73,78.52,2.66,7,78.3,7.66,5,24.24,12.25,4,train,0
G5-0416,12.69,92.96,3.32,8,93.84,7.24,6,37.82,6.68,3,train,0
G5-0417,7.03,77.93,2.58,7,60.68,7.46,5,10.69,4.18,5,train,0
G5-0418,13.51,81.03,3.06,10,82.89,5.78,8,32.85,5.98,4,train,0
G5-0419,11.47,79.81,2.94,6,72.99,6.3,5,23.45,6.23,2,train,0
G5-0420,8.26,76.79,2.29,4,62.28,6.65,5,10.31,10.2,0,train,1
G5-0421,5.68,68.12,3.18,5,66.79,6.04,5,24.9,6.27,3,train,1
G5-0422,7.17,70.49,1.87,7,44.48,7.53,4,25.42,10.04,2,train,1
G5-0423,10.32,65.88,3.01,7,76.84,7.52,6,17.04,4.79,1,train,0
G5-0424,7.87,75.41,2.63,7,75.26,5.83,9,57.69,9.61,5,train,1
G5-0425,12.28,87.12,2.67,7,84.64,6.93,6,19.85,7.26,1,train,0
G5-0426,10.41,70.64,2.8,6,65.54,6.41,4,17.53,8.48,4,train,1
G5-0427,4.83,90.4,2.91,8,88.3,7.1,4,19.23,6.33,1,train,0
G5-0428,9.59,80.88,2.61,5,69.53,8.29,6,17.37,7.13,2,train,1
G5-0429,10.3,89.05,3.16,7,76.87,7.59,6,13.83,3.53,0,train,0
G5-0430,8.93,86.6,2.7,8,68.88,6.14,3,8.63,5.19,2,train,0
G5-0431,11.94,98.04,2.93,8,84.52,7.24,5,28.28,6.41,3,train,0
G5-0432,11.81,92.52,2.53,7,61.32,7.68,3,9.08,7.18,2,train,0
G5-0433,8.67,77.26,2.26,4,70.1,6.15,6,26.84,8.47,0,train,1
G5-0434,8.39,91.77,2.88,9,65.2,6.72,5,34.56,8.45,3,train,0
G5-0435,6.54,73.28,3.03,6,71.54,7.05,5,49.53,10.01,2,train,0
G5-0436,11.96,70.8,3.19,6,83.18,6.05,3,16.93,5.84,2,train,0
G5-0437,14.07,98.83,3.6,10,85.74,7.45,6,26.75,6.07,2,train,0
G5-0438,14.99,92.26,2.77,9,77.26,6.68,5,35.74,6.01,4,train,0
G5-0439,7.48,79.45,2.59,6,73.96,6.49,5,25.33,8.04,2,train,1
G5-0440,6.37,81.19,3.2,6,68.32,8.07,5,55.54,4.1,2,train,0
G5-0441,1,53.07,1.4,3,54.79,7.1,6,18.05,6.29,2,train,1
G5-0442,11.82,87.21,3.05,7,65.03,8.04,7,8.98,7.13,1,train,0
G5-0443,9.29,86.98,2.76,8,63.21,7.34,4,20.64,6.65,5,train,0
G5-0444,8.66,83.28,2.92,9,79.05,7.56,4,24.96,6.98,3,train,0
G5-0445,7.89,82.61,2.84,7,58.95,7.54,6,20.69,8.06,1,train,1
G5-0446,7.54,91.62,2.04,8,64.8,6.33,3,45.56,10.26,3,train,0
G5-0447,7.71,67.56,2.98,6,83.22,7.85,6,12.75,6.01,4,train,0
G5-0448,11.68,79.38,3,8,67.66,6.36,7,19.9,8.04,4,train,1
G5-0449,8.97,92.08,3.09,10,70.14,6.64,4,37.26,7.92,2,train,0
G5-0450,9.43,99.85,3.08,6,82.2,8.93,3,8.74,4.72,6,train,0
G5-0451,12.66,98.05,2.9,9,82.42,7.35,4,20.77,5.39,3,train,0
G5-0452,9.02,91.12,2.28,10,63.69,6.77,6,13.25,3.33,5,train,0
G5-0453,10.72,74.75,2.18,8,70.83,6.07,8,42.55,5.89,2,train,1
G5-0454,7.11,75.12,3.59,6,85.21,7.58,5,35.44,7.52,4,train,0
G5-0455,9.16,77.13,2.75,4,88.65,7.83,3,30.66,9.78,2,train,0
G5-0456,1.54,61.8,2.55,5,64.51,6.77,9,90,4.41,0,train,1
G5-0457,11.81,98.7,2.89,10,74.11,8.29,5,33.64,7.12,1,train,0
G5-0458,7.96,74.22,2.46,7,72.49,6.74,5,22.3,3.94,0,train,0
G5-0459,4.37,61.65,2.07,4,66.95,6.07,5,46.66,8.61,1,train,1
G5-0460,10.19,87.47,2.3,8,93.03,6.63,6,49.83,8.5,2,train,1
G5-0461,6.63,87.39,3.3,8,79.61,8.49,4,19.01,6.64,0,train,0
G5-0462,8.6,93.82,2.76,7,68.75,6.46,6,25.48,8.83,1,train,1
G5-0463,8.19,85.45,2.4,9,78.87,5.65,7,44.67,6.48,3,train,0
G5-0464,9.35,78.41,2.21,8,84.66,7.36,4,2,5.51,4,train,0
G5-0465,4.17,72.42,3.15,5,74.88,6,6,21.05,7.41,2,train,1
G5-0466,5.33,86.75,2.23,7,67.18,7.09,2,19.11,10.69,1,train,0
G5-0467,7.56,73.55,2.71,9,71.38,6.79,6,22.19,8.48,4,train,1
G5-0468,14.44,90.28,3.23,7,77.16,6.09,7,13.22,4.26,2,train,0
G5-0469,1,68.97,3.1,6,76.25,7.45,9,40.21,7.85,2,train,0
G5-0470,12.49,80.85,2.48,8,72.15,5.95,6,4.12,6.31,5,train,1
G5-0471,9.19,81.52,3.45,9,83.22,7.18,5,27.09,4.92,1,train,0
G5-0472,3.19,69.88,2.7,8,68.49,6.09,6,53.59,9.14,3,train,1
G5-0473,8.05,80.01,2.65,5,72.38,7.79,4,20.27,4.29,2,train,1
G5-0474,6.64,68.77,3.27,6,73.15,6.34,3,3.88,7.99,1,train,1
G5-0475,6.37,75.76,2.33,7,55.66,7.11,4,52.76,4.71,1,train,1
G5-0476,7.57,87.02,3.62,7,89.06,6.79,7,21.97,3.17,0,train,0
G5-0477,6.51,85.51,2.17,7,57.7,7.27,2,14.1,4.78,3,train,1
G5-0478,5.16,65.88,2.63,6,67.04,6.73,8,22.44,3.85,0,train,1
G5-0479,10.04,75.11,1.54,7,50.82,5.81,6,28.63,1.26,3,train,1
G5-0480,14.01,92.27,3.31,9,79.42,7.77,6,11.8,8.02,3,train,0
G5-0481,16.43,86.57,2.15,10,66.04,7.72,5,33.25,9.36,1,train,0
G5-0482,11.45,79.77,2.65,8,81.04,7.06,5,10.18,3.42,1,train,0
G5-0483,5.56,65.73,2.84,7,67.78,6.95,7,2.14,6.61,2,train,0
G5-0484,14.7,82.21,3.9,7,100,5.76,4,18.06,7.06,2,train,0
G5-0485,6.41,62.22,2.25,5,74.3,6.97,6,33.9,8.63,2,train,1
G5-0486,4.61,86.02,2.62,8,69.57,7.27,6,35.46,3.31,4,train,1
G5-0487,11.18,96.62,2.96,7,82.1,8.27,2,19.71,6.12,0,train,0
G5-0488,9.73,85.88,3.14,9,77.37,7.23,7,9.28,6.97,2,train,0
G5-0489,8.54,88.19,2.94,8,64,8.16,6,20.07,3.95,2,train,1
G5-0490,10.76,74.54,2.74,7,80.34,6.17,7,20.9,9.12,2,train,0
G5-0491,9.32,83.26,2.91,6,78.91,6.47,4,2,4.57,1,train,0
G5-0492,7.97,71.74,3.49,6,74.88,7.11,5,8.38,8.52,0,train,1
G5-0493,10.58,87.75,2.56,9,71.15,8.57,2,17.63,9.25,1,train,0
G5-0494,12.51,79.02,2.26,6,68.07,7.18,6,24.06,7.71,4,train,0
G5-0495,4.81,58.14,2.13,3,73.9,6.5,6,23.87,4.79,5,train,1
G5-0496,17.99,92.04,3.24,10,85.88,6.63,6,8.31,7.9,3,train,0
G5-0497,8.7,69.56,2.33,9,62.05,7.73,6,22,6.16,1,train,0
G5-0498,9.21,82.19,2.92,7,72.52,7.99,3,28.57,4.33,2,train,0
G5-0499,9.35,96.57,3.05,8,83.19,6.41,3,36.45,5.57,2,train,0
G5-0500,6.81,72.68,2.52,5,86.95,6.72,6,3.92,4.97,2,train,1
G5-0501,15.01,86.36,3,8,67.13,7.11,6,79.99,7.23,4,train,0
G5-0502,3.21,74.71,2.33,5,75.92,7.88,5,34.66,3.71,1,train,1
G5-0503,9.09,71.86,2.36,6,70.83,6.85,9,19.08,9.15,3,train,1
G5-0504,13.46,93.01,2.85,8,68.72,7.95,2,12.26,5.65,2,train,0
G5-0505,12.46,83.51,3.33,6,76.22,6.78,5,34.61,6.4,1,train,0
G5-0506,6.56,67.81,2.75,8,68.08,7.04,7,57.36,7.32,3,train,1
G5-0507,6.86,74.05,2.85,5,78.2,6.43,5,31.67,8.61,1,train,0
G5-0508,13.24,96.9,2.53,7,84.05,8.49,3,33.97,13.54,1,train,0
G5-0509,8.15,90.51,2.81,6,77.6,7.44,4,13.01,10.57,0,train,0
G5-0510,9.9,90.18,2.76,8,72.69,7.58,1,32.55,3.72,3,train,0
G5-0511,5.03,79.09,3.2,6,77.72,6.3,4,15.2,9.33,2,train,0
G5-0512,3.36,71.97,2.42,6,62.79,6.84,6,36.2,10.69,2,train,1
G5-0513,9.91,72.82,2.47,7,63.7,8.1,4,33.92,6.86,3,train,0
G5-0514,11.07,84.56,2.58,8,72.2,7.53,3,15.74,8.12,1,train,0
G5-0515,12.59,91.77,2.85,10,77.1,7.2,4,8.49,9.18,2,train,0
G5-0516,9.44,84.65,1.79,6,53.94,7.91,3,27.83,7.15,3,train,1
G5-0517,7.56,70.94,2.52,6,61.96,7.06,5,12.84,7.69,3,train,1
G5-0518,12.18,80.23,2.95,7,80.04,7.13,5,90,10.33,1,train,1
G5-0519,9.45,89.76,2.47,9,77,6.7,7,9.93,7.98,5,train,0
G5-0520,9.31,89.98,3.13,7,81.76,6.42,5,27.92,3.87,2,train,0
G5-0521,12.9,91.16,3.19,9,80.64,8.47,4,31,6.35,4,train,0
G5-0522,6.27,72.38,2.64,5,64.07,7.42,5,31.89,7.85,2,train,0
G5-0523,10.06,80.32,2.19,9,74.51,7.07,5,2.49,5.55,6,train,0
G5-0524,11.28,91.47,3.76,9,85.48,8.83,3,34.88,8.32,2,train,0
G5-0525,13.68,100,3.37,10,69.51,7.14,3,31.09,5.08,1,train,0
G5-0526,12.18,85.86,3.3,9,83.71,6.75,7,32.37,4.26,2,train,0
G5-0527,5.48,70.28,2.28,6,66.91,7.05,5,61.04,5.51,1,train,1
G5-0528,4.13,64,2.13,5,78.18,7.3,4,31.11,7.41,1,train,1
G5-0529,9.21,74.14,3.19,5,81.05,5.28,4,9.6,4.36,1,train,0
G5-0530,4.49,70.21,2.41,6,64.25,6.26,8,11.97,3.44,3,train,0
G5-0531,10.94,69.71,3.45,6,78.57,7.94,5,53.27,11.55,0,train,0
G5-0532,9.54,78.68,2.99,8,81.06,6.39,7,32.38,9.33,3,train,0
G5-0533,12.34,92.41,2.59,8,82.08,6.66,5,20.56,8.12,3,train,0
G5-0534,5.21,84.3,3.12,5,74.41,6.45,6,2,12.46,3,train,0
G5-0535,8.51,78.53,3.21,7,67.8,7.8,6,21.88,7.88,1,train,0
G5-0536,11.25,73.69,3.56,6,74.49,6.63,6,20.7,7.63,4,train,0
G5-0537,11.58,80.09,2.23,8,71.1,6.88,8,25.16,4.04,0,train,1
G5-0538,5.09,73.66,2.64,8,63.93,5.53,7,15.29,9.49,1,train,1
G5-0539,11.59,86,2.69,7,91.53,6.85,5,24.53,4.84,3,train,0
G5-0540,2.75,84.23,2.24,7,70.43,7.3,5,20.08,7.04,3,train,1
G5-0541,12.79,90.92,3.02,7,88.42,8.15,3,31.05,5.56,3,train,0
G5-0542,3.87,58.59,2.48,3,70.62,5.75,9,7.89,7.87,4,train,1
G5-0543,17.27,92.97,3.22,8,76.41,8.65,2,11.58,8.65,2,train,0
G5-0544,8.6,83.53,2.99,9,61.77,7.78,4,17.69,8.01,1,train,0
G5-0545,13.46,80.1,2.97,6,77.71,6.82,2,47.2,9.71,1,train,0
G5-0546,12.59,85.61,2.35,8,62.54,8.67,4,43.32,6.41,2,train,0
G5-0547,8.5,78.87,2.85,5,55.85,7.32,6,32.9,4.22,2,train,1
G5-0548,11.94,87.07,2.85,7,73.88,6.99,5,38.3,10.88,4,train,0
G5-0549,9,84.39,2.51,7,79.21,5.58,5,49.18,8.03,2,train,0
G5-0550,12.78,87.28,3.55,8,86.95,7.56,7,27.49,6.75,2,train,0
G5-0551,11.3,89.52,2.84,7,74.43,8.13,3,26.32,5.95,1,train,0
G5-0552,6.55,81.01,2.65,7,77.26,6.44,3,38.71,11.8,3,train,0
G5-0553,7.29,84.52,3.09,6,73.3,6.98,5,33.65,8.29,2,train,0
G5-0554,11.65,92.57,2.59,7,76.25,7.22,2,11.73,7.84,2,train,0
G5-0555,6.03,83.86,2.98,7,79.65,6.46,5,31.53,8.62,2,train,0
G5-0556,8.72,86.87,2.09,5,56.53,7,4,13.63,8.41,1,train,0
G5-0557,5.98,79.5,2.24,7,65.22,6.85,4,6.42,7.64,6,train,1
G5-0558,8.69,82.54,3.17,7,75.21,6.77,3,26,6.18,1,train,0
G5-0559,13.72,100,2.85,9,84.57,7.28,7,45.13,8.4,0,train,0
G5-0560,6.43,68.31,2.26,7,58.37,5.88,5,17.61,8.5,2,train,1
G5-0561,10.39,98.89,2.83,8,84.26,6.1,2,13.89,8.63,5,train,0
G5-0562,9.89,72.16,3.37,7,76.87,5.46,7,36.28,5.33,1,train,0
G5-0563,9.68,78.94,2.2,5,68.18,7.02,5,12.46,5.38,3,train,1
G5-0564,7.23,82.25,2.02,7,64.59,6.57,5,11.48,6.4,0,train,1
G5-0565,12.61,86.15,2.95,8,90.29,6.51,3,32.88,4.93,2,train,0
G5-0566,11.04,100,3.09,10,84.68,7.04,7,44.88,4.25,1,train,0
G5-0567,9.09,71.75,2.82,6,70.49,6.67,6,27.41,4.57,6,train,1
G5-0568,8.34,69.28,2.75,5,71.97,6.59,6,2.41,4.95,0,train,1
G5-0569,3.2,71.57,2.82,5,75.23,6.65,5,35.53,4.23,3,train,1
G5-0570,6.55,61.22,2.28,8,70.29,6.99,5,40.83,8.78,2,train,1
G5-0571,1.92,62.76,2.77,6,58.32,4.27,10,18.17,2.53,3,train,1
G5-0572,10.04,83.27,2.52,5,71.17,5.36,5,9.25,7.43,3,train,0
G5-0573,5.57,78.96,3.56,6,86.8,6.09,9,17.98,3.74,1,train,0
G5-0574,4.78,85.39,2.05,8,77.19,7.66,4,12.17,5.76,2,train,0
G5-0575,8.92,71.15,2.14,6,75.24,6.92,6,28.98,9.82,4,train,1
G5-0576,6.03,84.16,2.51,8,69.42,6.29,3,14.53,10.91,3,train,0
G5-0577,8.04,83.76,3.07,6,93.32,7.29,6,13.16,5.59,3,train,0
G5-0578,8.34,82.03,2.87,8,69.73,7.66,5,12.31,5.45,1,train,0
G5-0579,8.85,73.83,2.94,9,69.84,6.11,5,18.32,8.18,0,train,0
G5-0580,9.97,86.95,3.05,9,71.83,6,6,35.44,11.85,3,train,0
G5-0581,7.54,79.46,2.39,7,68.21,6.72,6,38.32,8.45,2,train,1
G5-0582,10.8,88.49,3.25,7,84.83,7.13,3,24.21,5.07,1,train,0
G5-0583,11.04,87.59,2.94,8,83.27,6.27,4,6.84,5.1,2,train,0
G5-0584,14.83,87.92,3.08,7,84.28,6.21,6,12.94,2.53,1,train,0
G5-0585,10.36,86.47,2.46,7,70.26,6.91,4,27.42,6.27,2,train,0
G5-0586,7.58,73.02,2.84,8,79.31,6.46,6,18.76,9.63,2,train,0
G5-0587,6.91,73.09,2.05,5,57.56,5.68,6,20.05,6.44,3,train,1
G5-0588,7.88,75.59,3.14,6,70.47,6.48,5,41.62,7.27,3,train,0
G5-0589,14.21,89.6,2.55,6,65.86,5.97,8,3.81,5.08,3,train,0
G5-0590,16.34,100,3.62,10,100,7.81,3,13.72,4.47,2,train,0
G5-0591,13.63,97.2,3.19,10,69.5,6.16,9,12.38,8.11,1,train,0
G5-0592,9.05,84.55,3,8,89.85,7.3,3,46.37,7.74,2,train,0
G5-0593,8.92,77.29,2.46,6,75.16,7.32,1,54.82,11.03,1,train,1
G5-0594,9.92,83.3,3.71,7,91.84,6.91,5,43.26,9,2,train,0
G5-0595,8.53,73.5,2.97,6,78.36,6.89,5,17.86,6.85,0,train,1
G5-0596,7.96,71.69,2.34,4,68.33,8.8,1,19.28,8.29,1,train,1
G5-0597,1.04,65.53,2.31,5,67.58,6.46,5,8.87,4.86,0,train,1
G5-0598,6.51,74.77,2.68,7,46.38,7.73,2,29.13,7.16,2,train,1
G5-0599,8.95,94.39,2.37,6,64.31,7.03,2,35.38,8.24,0,train,0
G5-0600,4.84,72.61,2.78,6,70.37,6.57,7,27.79,7,1,train,1
G5-0601,13.3,79.93,3.29,9,80.51,6.12,4,9.17,4.62,1,train,0
G5-0602,8.5,85.15,3.4,7,83.02,6.87,2,21.91,6.86,2,train,0
G5-0603,13.7,88.04,2.71,9,71.97,7.73,5,29.81,4.42,3,train,0
G5-0604,10.18,85.28,2.35,7,68.85,6.47,5,5.05,7.12,2,train,0
G5-0605,10.19,89.37,2.55,8,74.48,7.92,2,24.52,9.63,2,train,0
G5-0606,5.83,81.7,2.75,5,78.34,6.68,4,85.16,3.79,5,train,0
G5-0607,4.24,59,2.32,3,71.91,7.02,4,26.24,0,0,train,1
G5-0608,4.18,62.58,3.02,5,90.35,7.95,4,46.4,5.49,3,train,0
G5-0609,9.9,76.68,2.5,7,76.61,5.82,8,14.14,8.75,3,train,0
G5-0610,8.53,75.32,2.66,5,71.13,5.67,8,25.18,2.52,3,train,1
G5-0611,13.54,90.37,3.02,8,73.87,6.04,10,32.77,4.03,2,train,0
G5-0612,5.73,88.4,2.98,8,74.56,8.53,2,42.05,5.89,2,train,0
G5-0613,6.75,83.94,2.83,8,62.89,7.5,5,18.53,4.51,0,train,0
G5-0614,10.95,93.89,3.29,8,84.61,6.59,4,39.1,5.15,5,train,0
G5-0615,7.81,88.36,1.56,6,51.63,6.8,5,53.94,3.83,2,train,1
G5-0616,14.61,96.6,3.15,9,80.46,6.87,4,36.06,9.83,2,train,0
G5-0617,9.47,71.84,2.67,7,82.94,7.49,3,18.73,5.99,1,train,0
G5-0618,10.03,73.33,3.4,6,69.52,7.18,4,23.98,9.19,3,train,0
G5-0619,10.63,80.99,3.39,6,83.08,6.39,5,32.68,7.83,2,train,0
G5-0620,6.37,68.24,2.29,5,66.05,6.52,2,24,11.22,1,train,1
G5-0621,5.95,71.47,2.39,5,55.64,6.33,7,11.62,11.46,2,train,1
G5-0622,6.87,71.82,3.37,7,81.49,7.85,5,14.99,3.23,2,train,0
G5-0623,5.47,65.24,2.17,5,54.23,7.52,6,42.38,7.21,1,train,1
G5-0624,4.53,53.83,1.64,4,46.61,6.14,9,44.49,5.27,4,train,1
G5-0625,9.23,68.96,2.46,5,71.03,6.15,6,11.24,6.23,1,train,1
G5-0626,8.02,82.45,2.69,7,57.84,6.77,7,40.65,6.23,0,train,1
G5-0627,10.68,70.92,2.5,5,63.82,6.87,5,39.74,9.1,2,train,1
G5-0628,7,76.67,2.89,6,83.32,6.63,4,55.64,5.82,1,train,0
G5-0629,1,72.11,2.71,6,70.05,5.73,7,33.18,8.4,3,train,1
G5-0630,11.22,87.47,2.66,8,90.85,7.21,7,22.4,6.81,0,train,0
G5-0631,7.42,67.19,2.45,5,77.35,6.68,5,27.31,4.17,3,train,1
G5-0632,6.14,67.74,2.57,4,65.96,7.14,5,17.07,7.3,1,train,1
